"","AU","TI","SO","PY","Variety","Coder","Removed","Reason"
"207","TRAINOR RH","CONFLICT AND COMPROMISE - CLASS FORMATION IN ENGLISH-SOCIETY 1830-1914 - A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","BUSINESS HISTORY",1983,"Birmingham",NA,NA,NA
"208","CANNADINE D","CONFLICT AND COMPROMISE - CLASS FORMATION IN ENGLISH-SOCIETY, 1830-1914 - A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","HISTORY",1983,"Birmingham",NA,NA,NA
"209","MORRIS RJ","CONFLICT AND COMPROMISE - CLASS FORMATION IN ENGLISH-SOCIETY 1830-1914 - A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","JOURNAL OF HISTORICAL GEOGRAPHY",1983,"Birmingham",NA,NA,NA
"210","BINFIELD C","CONFLICT AND COMPROMISE - CLASS FORMATION IN ENGLISH-SOCIETY 1830-1914 - A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","NEW SOCIETY",1982,"Birmingham",NA,NA,NA
"211","PERKIN H","CONFLICT AND COMPROMISE - CLASS FORMATION IN ENGLISH-SOCIETY 1830-1914, A COMPARATIVE-STUDY OF BIRMINGHAM AND SHEFFIELD - SMITH,D","TLS-THE TIMES LITERARY SUPPLEMENT",1982,"Birmingham",NA,NA,NA
"212","MONEY J","SCHOOLMASTERS OF BIRMINGHAM AND WEST MIDLANDS, 1750-1790 - PRIVATE EDUCATION AND CULTURAL-CHANGE IN ENGLISH PROVINCES DURING EARLY INDUSTRIAL-REVOLUTION","HISTOIRE SOCIALE-SOCIAL HISTORY",1976,"Birmingham",NA,NA,NA
"213","EDMONDS F","THE EMERGENCE AND TRANSFORMATION OF MEDIEVAL CUMBRIA","SCOTTISH HISTORICAL REVIEW",2014,"Cumbrian",NA,NA,NA
"214","TIPPING E;CHAPLOW JS","ATMOSPHERIC POLLUTION HISTORIES OF THREE CUMBRIAN SURFACE WATERS","FRESHWATER BIOLOGY",2012,"Cumbrian",NA,NA,NA
"215","BRANTS I","CONTEMPORARY METAMORPHOSIS OF THE COBALT BLUE UNDERGLAZE PAINTING TRADITION","SCIENTIFIC ARTICLES OF 7TH INTERNATIONAL CONFERENCE: PERSON, COLOR, NATURE, MUSIC",2012,"Cumbrian",NA,NA,NA
"216","BROADHEAD A","FRAMING DIALECT IN THE 1800 LYRICAL BALLADS: WORDSWORTH, REGIONALISMS AND FOOTNOTES","LANGUAGE AND LITERATURE",2010,"Cumbrian",NA,NA,NA
"217","ROTHWELL JJ;DISE NB;TAYLOR KG;ALLOTT TEH;SCHOLEFIELD P;DAVIES H;NEAL C","A SPATIAL AND SEASONAL ASSESSMENT OF RIVER WATER CHEMISTRY ACROSS NORTH WEST ENGLAND","SCIENCE OF THE TOTAL ENVIRONMENT",2010,"Cumbrian",NA,NA,NA
"218","PORTER J;MORRIS SA;PICKUP RW","EFFECT OF TROPHIC STATUS ON THE CULTURABILITY AND ACTIVITY OF BACTERIA FROM A RANGE OF LAKES IN THE ENGLISH LAKE DISTRICT","APPLIED AND ENVIRONMENTAL MICROBIOLOGY",2004,"Cumbrian",NA,NA,NA
"219","ELLIOTT JM;ELLIOTT JA;HILTON J","SOURCES OF VARIATION IN POST-CHERNOBYL RADIOCAESIUM IN BROWN TROUT, SALMO TRUTTA L., AND ARCTIC CHARR, SALVELINUS ALPINUS (L.), FROM SIX CUMBRIAN LAKES (NORTHWEST ENGLAND)","ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY",1993,"Cumbrian",NA,NA,NA
